id,type,desc
23,Aichi Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
5,Akita Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
2,Aomori Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
12,Chiba Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
38,Ehime Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
18,Fukui Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
40,Fukuoka Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
7,Fukushima Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
21,Gifu Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
10,Gunma Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
34,Hiroshima Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
1,Hokkai Do,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
28,Hyogo Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
8,Ibaraki Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
17,Ishikawa Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
3,Iwate Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
37,Kagawa Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
46,Kagoshima Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
14,Kanagawa Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
39,Kochi Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
43,Kumamoto Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
26,Kyoto Fu,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
24,Mie Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
4,Miyagi Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
45,Miyazaki Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
20,Nagano Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
42,Nagasaki Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
29,Nara Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
15,Niigata Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
44,Oita Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
33,Okayama Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
47,Okinawa Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
27,Osaka Fu,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
41,Saga Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
11,Saitama Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
25,Shiga Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
32,Shimane Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
22,Shizuoka Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
9,Tochigi Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
36,Tokushima Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
13,Tokyo To,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
31,Tottori Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
16,Toyama Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
30,Wakayama Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
6,Yamagata Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
35,Yamaguchi Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
19,Yamanashi Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."